team_code,team_name,bib_number,official_name,nationality,profile_url
UEX,UAE TEAM EMIRATES XRG,1,TADEJ POGACAR,SLO,https://www.letour.fr/en/rider/1/uae-team-emirates-xrg/tadej-pogacar
UEX,UAE TEAM EMIRATES XRG,2,ISAAC DEL TORO,MEX,https://www.letour.fr/en/rider/2/uae-team-emirates-xrg/isaac-del-toro-romero
UEX,UAE TEAM EMIRATES XRG,3,FELIX GROSSSCHARTNER,AUT,https://www.letour.fr/en/rider/3/uae-team-emirates-xrg/felix-grossschartner
UEX,UAE TEAM EMIRATES XRG,4,BRANDON MCNULTY,USA,https://www.letour.fr/en/rider/4/uae-team-emirates-xrg/brandon-mcnulty
UEX,UAE TEAM EMIRATES XRG,5,NILS POLITT,GER,https://www.letour.fr/en/rider/5/uae-team-emirates-xrg/nils-politt
UEX,UAE TEAM EMIRATES XRG,6,FLORIAN VERMEERSCH,BEL,https://www.letour.fr/en/rider/6/uae-team-emirates-xrg/florian-vermeersch
UEX,UAE TEAM EMIRATES XRG,7,TIM WELLENS,BEL,https://www.letour.fr/en/rider/7/uae-team-emirates-xrg/tim-wellens
UEX,UAE TEAM EMIRATES XRG,8,ADAM YATES,GBR,https://www.letour.fr/en/rider/8/uae-team-emirates-xrg/adam-yates
TVL,TEAM VISMA | LEASE A BIKE,11,JONAS VINGEGAARD,DEN,https://www.letour.fr/en/rider/11/team-visma-lease-a-bike/jonas-vingegaard-hansen
TVL,TEAM VISMA | LEASE A BIKE,12,EDOARDO AFFINI,ITA,https://www.letour.fr/en/rider/12/team-visma-lease-a-bike/edoardo-affini
TVL,TEAM VISMA | LEASE A BIKE,13,BRUNO ARMIRAIL,FRA,https://www.letour.fr/en/rider/13/team-visma-lease-a-bike/bruno-armirail
TVL,TEAM VISMA | LEASE A BIKE,14,VICTOR CAMPENAERTS,BEL,https://www.letour.fr/en/rider/14/team-visma-lease-a-bike/victor-campenaerts
TVL,TEAM VISMA | LEASE A BIKE,15,PER STRAND HAGENES,NOR,https://www.letour.fr/en/rider/15/team-visma-lease-a-bike/per-strand-hagenes
TVL,TEAM VISMA | LEASE A BIKE,16,MATTEO JORGENSON,USA,https://www.letour.fr/en/rider/16/team-visma-lease-a-bike/matteo-jorgenson
