id,race_id,stage_number,stage_date,start_location,finish_location,distance_km,stage_type,is_rest_day,notes,source_url,data_confidence,created_at,updated_at
c1ad791d-1958-5792-8ca0-c526c1ed3ae3,a0cfee7f-5789-5a71-9e03-a9cfe59d5c27,1,2026-07-04,Barcelone,Barcelone,19.6,TTT,false,,https://www.letour.fr/en/overall-route,high,2026-06-30T00:00:00Z,2026-06-30T00:00:00Z
01b67c39-9140-5d9b-9a1e-38e81746c4f3,a0cfee7f-5789-5a71-9e03-a9cfe59d5c27,2,2026-07-05,Tarragone,Barcelone,168.5,hilly,false,,https://www.letour.fr/en/overall-route,high,2026-06-30T00:00:00Z,2026-06-30T00:00:00Z
567d0712-e574-55c4-b073-39d2d977d163,a0cfee7f-5789-5a71-9e03-a9cfe59d5c27,3,2026-07-06,Granollers,Les Angles,195.9,mountain,false,,https://www.letour.fr/en/overall-route,high,2026-06-30T00:00:00Z,2026-06-30T00:00:00Z
48bee203-b03d-5b74-a38a-94c72a0ccc4b,a0cfee7f-5789-5a71-9e03-a9cfe59d5c27,4,2026-07-07,Carcassonne,Foix,181.9,hilly,false,,https://www.letour.fr/en/overall-route,high,2026-06-30T00:00:00Z,2026-06-30T00:00:00Z
4c98eb5f-f8db-5b89-b54b-8099793945da,a0cfee7f-5789-5a71-9e03-a9cfe59d5c27,5,2026-07-08,Lannemezan,Pau,158.3,flat,false,,https://www.letour.fr/en/overall-route,high,2026-06-30T00:00:00Z,2026-06-30T00:00:00Z
cb66966d-c5a6-5811-89b2-e0f98423318c,a0cfee7f-5789-5a71-9e03-a9cfe59d5c27,6,2026-07-09,Pau,Gavarnie-Gèdre,186.2,mountain,false,,https://www.letour.fr/en/overall-route,high,2026-06-30T00:00:00Z,2026-06-30T00:00:00Z
5265669b-c7b4-5f88-86b5-6c713be6c649,a0cfee7f-5789-5a71-9e03-a9cfe59d5c27,7,2026-07-10,Hagetmau,Bordeaux,175.1,flat,false,,https://www.letour.fr/en/overall-route,high,2026-06-30T00:00:00Z,2026-06-30T00:00:00Z
5b6e3984-8fe8-5383-88af-3e90be0b989b,a0cfee7f-5789-5a71-9e03-a9cfe59d5c27,8,2026-07-11,Périgueux,Bergerac,180.4,flat,false,,https://www.letour.fr/en/overall-route,high,2026-06-30T00:00:00Z,2026-06-30T00:00:00Z
5a9da88f-b7df-5457-9167-951720db4c13,a0cfee7f-5789-5a71-9e03-a9cfe59d5c27,9,2026-07-12,Malemort,Ussel,185.5,hilly,false,First rest day follows on 2026-07-13 in Cantal.,https://www.letour.fr/en/overall-route,high,2026-06-30T00:00:00Z,2026-06-30T00:00:00Z
d8987614-4a0d-5186-bedd-ab65232ca1bf,a0cfee7f-5789-5a71-9e03-a9cfe59d5c27,10,2026-07-14,Aurillac,Le Lioran,166.6,mountain,false,,https://www.letour.fr/en/overall-route,high,2026-06-30T00:00:00Z,2026-06-30T00:00:00Z
